name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
Vivekananda,Vivekananda College|"The college has three small buildings.",03564 274 705,NA,"Alipurduar, West Bengal",School,NA,follow-up,Customer said to talk face to face about the service ,Pending,1/18/2025
Al-Faisal,Al-Faisal International School,090022 22231,NA,"Goagaon, Goalpokhar, West Bengal",School,NA,follow-up,this voice is breaking. He said he will call back later.,Pending,2/1/2025
Bihani,Bihani Academy,033 3535 3535,NA,"Kolkata, West Bengal",School,NA,follow-up,Said to share details via mail.they will contact us through mail.,Pending,1/21/2025
Upasana,Upasana Academy,090732 14594,NA,"Maheshtala, West Bengal",School,NA,follow-up,Customer said to share details via mail.They will contact through mail.,Pending,1/21/2025
B.D.M.,B.D.M. International School,033 2435 8402,NA,"Kolkata, West Bengal",School,NA,follow-up,Said to share details via mail.they will contact us through mail.,Pending,1/21/2025
Sri,"Sri Sri Academy (SSA), Siliguri | Best CBSE Boarding School",097335 66685,NA,"Dhukuria, P.O. New Chumta, Dagapur",School,NA,follow-up,Customer said to share details via mail.They will contact through mail.,Pending,1/21/2025
ST,ST XAVIER'S SCHOOL,098320 12123,NA,Sevoke Rd,School,NA,follow-up,Said to share details on whats app.,Pending,1/22/2025
The,The Shri Ram Wonder Years,098008 42222,NA,"Iskcon Rd, beside Manokamna Hospital",School,NA,follow-up,Customer said to share the company details & charges of products via whats app.,Pending,1/31/2025
ANGELA,ANGELA ENGLISH SCHOOL,079084 90493,NA,MCWG+Q6M,School,NA,follow-up,Said to call back on first week of march.,Pending,2/1/2025
Sainik,Sainik School,081458 67894,NA,"Purulia, West Bengal",School,NA,follow-up,Send mail ,Pending,1/22/2025
Ramakrishna,"Ramakrishna Mission Vidyapith, Purulia|""The campus is soo beautiful and peaceful with total campus size is 88 acres.""",096095 35336,NA,"Bongabari, West Bengal",School,NA,follow-up,Said to share details via mail.,Pending,1/22/2025
Sudhir,Sudhir Memorial Institute Tamluk,089006 39208,NA,Nimtala - Barabazar Connector,School,NA,follow-up,said to share details via mail.,Pending,1/24/2025
Shyamsundarpur, Shyamsundarpur Patna high school,03228 255 266,NA,"GP, Shyamsundarpur Patna Mysora",School,NA,follow-up,he will contact us,Pending,1/24/2025
IMPERIAL,IMPERIAL CITY SCHOOL,070448 06637,NA,"203, 2, Girish Ghosh Rd",School,NA,follow-up,Said to share details. They will contact through mail.,Pending,1/25/2025
Sunrise,Sunrise (Eng. Med.) school,033 2654 8409,NA,"28/1 GT Road &9, Tarachand Ganguly St",School,NA,follow-up,Said to share the details of school management software,Pending,1/25/2025
AGRASAIN,AGRASAIN BOYS' SCHOOL,033 2655 4547,NA,"21/A, Agrasain St",School,NA,follow-up,Send mail ,Pending,1/25/2025
Augustine's,Augustine's Public School,090734 66992,NA,Sri Aurobinda Rd,School,NA,follow-up,Send details on wp,Pending,1/25/2025
Dolphin,Dolphin English School,098311 64182,NA,"J8RQ+C7R, Sapuipara Main Rd",School,NA,follow-up,Ringing,Pending,2/1/2025
Kendriya,Kendriya Vidyalaya Santragachi,033 2657 3092,NA,H7VM+3VG,School,NA,follow-up,said to visit there school,Pending,1/25/2025
Wonder,Wonder Play School Howrah,090511 42359,NA,"1st floor, 84/1, Jelia Para Ln",School,NA,follow-up,said to call back on feb 2nd week,Pending,1/25/2025
Saint,Saint Dominic Savio School,033 2665 9251,NA,"59, Bijoy Kumar Mukherjee Rd",School,NA,follow-up,Send email,Pending,1/25/2025
Birpara,Birpara High School (H.S.),3563266057,NA,P44Q+R6G,School,NA,warm-call,Website & Software,Pending,1/20/2025
Hili,Hili The East Point K.G School,095930 00296,NA,"Hili, West Bengal",School,NA,warm-call,Website & Software,Pending,1/31/2025
SUNFORD,SUNFORD INTERNATIONAL SCHOOL|"Good school in Goalpokher",097350 34172,NA,Sahapur,School,NA,warm-call,Google ads service.,Pending,1/21/2025
NORTH,NORTH BENGAL AL AMEEN MISSION|"Best teacher",097330 40098,NA,J97P+922,School,NA,warm-call,,Pending,1/21/2025
CENTRAL,CENTRAL MODEL SCHOOL AMTALA,096748 50783,NA,"Diamond Harbour, West Bengal",School,NA,warm-call,Website & Software,Pending,1/21/2025
Kolkata,Kolkata Public Academy,090628 06248,NA,"Khastika, West Bengal",School,NA,warm-call,Software,Pending,1/21/2025
Strawberry,Strawberry Kids,096093 88282,NA,Hemanta Mukherjee Sarani,School,NA,warm-call,Website & Software,Pending,1/30/2025
Lawrence,Lawrence public School,079080 54166,NA,QC3H+W57 Samar Nagar,School,NA,warm-call,Website & Software,Pending,1/31/2025
New,New Calcutta Public School,098364 35765,NA,"Paharirchak, Bonvera, Narghat, Contai - Nandakumar Rd",School,NA,warm-call,School software,Pending,1/24/2025
Bargodagodar,Bargodagodar Krishna Smriti Vidyaniketan,094343 60416,NA,"Bar Godagudar, West Bengal",School,NA,warm-call,School software,Pending,1/24/2025
Bailey's,Bailey's School of Early Learning,085849 83212,NA,"1st floor, Sabitri apartment, Chunabhati, near Narayana multispeciality hospital",School,NA,warm-call,Website  & Digital marketing,Pending,1/25/2025
vivekananda,vivekananda shishu mandir School alampur|"Well maintained and teaching process is good.. our principal is so caring..",097485 75203,NA,Vivekanand Shishu mandir,School,NA,warm-call,School management software,Pending,1/27/2025
Saptasur,Saptasur Music School || Music school in Howrah|"The music school's community is warm and welcoming.",099033 55190,NA,"1st Floor, Dipanjali Apartment, 36/7, Ashutosh Ghosh Rd",School,NA,warm-call,Software & online classes service,Pending,27-01-2025
POGO,POGOkids,098300 43054,NA,"38/1, Kalabagan Ln, near Notun Raasta",School,NA,warm-call,Website ,Pending,1/27/2025
Arnab's,Arnab's Coaching,062894 42392,NA,Unnamed Road,School,NA,warm-call,Website,Pending,1/27/2025
