name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
m.a trading corporation ,m.a trading corporation ,9831117096//8100115253,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
M.f industtrial stores ,M.f industtrial stores ,990338496//3340654141,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
multi industarial Equipments ,multi industarial Equipments ,9903523688,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
Dutson Enterprise ,Dutson Enterprise ,9903728647,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
Western hardware co ,Western hardware co ,9903319329//9748087504,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
New Mondal  Enterprise ,New Mondal  Enterprise ,9831226937/8697910394,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
Sundaram safety industaries  ,Sundaram safety industaries  ,9831094162,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
jagannath  traders,jagannath  traders,8017084970/9874956499,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
sd international ,sd international ,9339929151,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
asa abdullah &company ,asa abdullah &company ,8282768135,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,mail sent follow-up on Monday  (shantanu),follow-up,2025/04/28
Agrico tube centre,Agrico tube centre,8287683528,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Details Shaer follow-up Monday  (shantanu),follow-up,2025/04/28
Ashok Rungta.omex india pvt ltd ,Ashok Rungta.omex india pvt ltd ,9674663178,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Details Shaer// visit on 1st april  (shantanu),follow-up,2025/04/28
kiran enginnering ,kiran enginnering ,9883246322,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Details Shaer// visit on 1st april ,follow-up,2025/04/28
tm ismail company  pvt ltd ,tm ismail company  pvt ltd ,98306075833,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Details Shaer// visit  after ramjan//follow-up Monday ,follow-up,2025/04/28
econ conduit ,econ conduit ,8240275370,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Details Shaer//Revisit,follow-up,2025/04/28
Tara ma electric,Tara ma electric,9830456377,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
Apollo tyers ,Apollo tyers ,Na,NA,"kolkata,west bengal",Enterprise ,billing softwaer,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
credit solutaion ,credit solutaion ,628907210,NA,"kolkata,west bengal",NBFC,Calling Softwaer// attendance//salary ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
Rk  car choice ,Rk  car choice ,9804446661/9883621207,NA,"kolkata,west bengal",Enterprise ,attendance,follow-up,visit/revisit on 2nd april// customer will  pay on 3rd april//customewr will pay on 4 april//Just talk to R k choice owner he told  me 10000 transfer within Tuesday. So pls send me company bank account deta// (shantanu),hot-call ,2025/04/28
Bholanath dyers,Bholanath dyers,8100505060,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
allied health plus ,allied health plus ,Na,NA,"kolkata,west bengal",hospital,Hms Softwaer ,follow-up,Customer said he was booking on 4 april //  (shantanu),follow-up,2025/04/28
Kamala memorial school ,Kamala memorial school ,Na,NA,"kolkata,west bengal",School,School management softwaer ,follow-up,7 april customer need visit //  (shantanu),follow-up,2025/04/28
Junior delhi school,Junior delhi school,98304125601,NA,"kolkata,west bengal",School,School management softwaer ,follow-up,tommorrow call  and customer said he will pay on Friday// cudstomer will pay on 4 th april  after 12 pm // follow-up on Monday // (shantanu),follow-up,2025/04/28
Mitra info tech  ,Mitra info tech  ,9674386807,NA,"kolkata,west bengal",Enterprise ,na ,follow-up,Monday calling // (shantanu),follow-up,2025/04/28
Icon infosys ,Icon infosys ,9830185448,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Call back on Monday (shantanu),follow-up,2025/04/28
m.a trading corporation ,m.a trading corporation ,9831117096//8100115253,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Wants inventory and auto reminder. Sharing done .calling next  Tuesday// (shantanu),follow-up,2025/04/29
leslie richad & co ,leslie richad & co ,9831181877,NA,"kolkata,west bengal",Enterprise ,Inventory&billing ,follow-up,Send inventory invoicing details meet Monday// (shantanu),follow-up,2025/04/28
